_id,name,stockCode,__v,age,createdAt,degree,description,gender,group,is13NPCMember,isCCPMember,lastUpdated,salary,stockAmount,stockName,title,updatedAt,sentence,subSentence,tinySentence,keyword,positionStart,positionEnd,job,jobStart,jobEnd
5f6669f2ade9005a1eed355a,孔一凡,600971,0,56,1600547314125,硕士,"孔一凡,男,1964年生,研究生,高级工程师。历任皖北煤电集团生产技术部副部长、主任工程师,任楼煤矿党委委员、副矿长、总工程师,通风地测处处长,安徽五沟煤矿有限责任公司矿长、党委委员、公司董事、总工程师。现任安徽恒源煤电股份有限公司董事、副总经理。",男,manager,,,1581552000000,566700,0,恒源煤电,副总经理,1608517493023,"历任皖北煤电集团生产技术部副部长、主任工程师,任楼煤矿党委委员、副矿长、总工程师,通风地测处处长,安徽五沟煤矿有限责任公司矿长、党委委员、公司董事、总工程师",任楼煤矿党委委员、副矿长、总工程师,任楼煤矿党委委员,党委,4,6,委员,6,8
5f6669f2ade9005a1eed355a,孔一凡,600971,0,56,1600547314125,硕士,"孔一凡,男,1964年生,研究生,高级工程师。历任皖北煤电集团生产技术部副部长、主任工程师,任楼煤矿党委委员、副矿长、总工程师,通风地测处处长,安徽五沟煤矿有限责任公司矿长、党委委员、公司董事、总工程师。现任安徽恒源煤电股份有限公司董事、副总经理。",男,manager,,,1581552000000,566700,0,恒源煤电,副总经理,1608517493023,"历任皖北煤电集团生产技术部副部长、主任工程师,任楼煤矿党委委员、副矿长、总工程师,通风地测处处长,安徽五沟煤矿有限责任公司矿长、党委委员、公司董事、总工程师",安徽五沟煤矿有限责任公司矿长、党委委员、公司董事、总工程师,党委委员,党委,0,2,委员,2,4
5f6669f8ade9005a1eed36ca,闻道才,600973,0,63,1600547320799,硕士,"闻道才:男,汉族,1957年2月生,江苏江都人,中央党校研究生学历,现任潍柴动力独立董事。曾任扬州市人民政府副市长、宝应县县委书记、县长、扬州市茧丝绸集团董事长、总经理。",男,board,,,1587772800000,0,0,宝胜股份,独立董事,1608517496277,曾任扬州市人民政府副市长、宝应县县委书记、县长、扬州市茧丝绸集团董事长、总经理,曾任扬州市人民政府副市长、宝应县县委书记、县长、扬州市茧丝绸集团董事长、总经理,宝应县县委书记,县委,3,5,书记,5,7
5f6669d7ade9005a1eed3014,贾睿,600967,0,53,1600547287477,硕士,"贾睿,男,1967年出生,中共党员,工程硕士,研究员级高级工程师。曾任内蒙古第一机械制造(集团)有限公司科研开发中心副主任、主任,科研所所长,总经理助理,车辆研究院副院长、院长、党委书记,内蒙古第一机械集团有限公司副总经理。现聘任为内蒙古第一机械集团股份有限公司副总经理。",男,manager,,1,1539043200000,1085000,0,内蒙一机,副总经理,1608517467150,"贾睿,男,1967年出生,中共党员,工程硕士,研究员级高级工程师",中共党员,中共党员,中共,0,2,党员,2,4
5f6669d7ade9005a1eed3014,贾睿,600967,0,53,1600547287477,硕士,"贾睿,男,1967年出生,中共党员,工程硕士,研究员级高级工程师。曾任内蒙古第一机械制造(集团)有限公司科研开发中心副主任、主任,科研所所长,总经理助理,车辆研究院副院长、院长、党委书记,内蒙古第一机械集团有限公司副总经理。现聘任为内蒙古第一机械集团股份有限公司副总经理。",男,manager,,1,1539043200000,1085000,0,内蒙一机,副总经理,1608517467150,"曾任内蒙古第一机械制造(集团)有限公司科研开发中心副主任、主任,科研所所长,总经理助理,车辆研究院副院长、院长、党委书记,内蒙古第一机械集团有限公司副总经理",车辆研究院副院长、院长、党委书记,党委书记,党委,0,2,书记,2,4
5f6669ddade9005a1eed3116,彭雷,600968,0,45,1600547293416,硕士,"彭雷先生,中国国籍,1975年出生,1998年获江汉石油学院石油工程系石油工程专业大学本科学历;2009年6月获中国石油大学(华东)石油工程与天然气工程专业工程硕士。1998年,加入中国海油;2008年3月至2010年1月任中海油田服务股份有限公司油化事业部塘沽基地经理;2010年1月至2016年1月任中海油田服务股份有限公司油田化学事业部副总经理;2016年1月至2016年8月任中海油田服务股份有限公司油田化学事业部总经理(临时代理);2016年8月至2017年11月任中海油田服务股份有限公司油田化学事业部总经理;2017年11月至2019年7月任中海油田服务股份有限公司油田化学事业部总经理、党委副书记;2019年7月至2019年11月任中海油田服务股份有限公司油田化学事业部总经理、党委副书记(主持党委工作);2019年11月至2020年4月任中海油田服务股份有限公司油田化学事业部总经理、党委书记。",男,manager,,,1588982400000,0,0,海油发展,副总经理,1608517471014,2017年11月至2019年7月任中海油田服务股份有限公司油田化学事业部总经理、党委副书记,2017年11月至2019年7月任中海油田服务股份有限公司油田化学事业部总经理、党委副书记,党委副书记,党委,0,2,书记,3,5
5f6669ddade9005a1eed3116,彭雷,600968,0,45,1600547293416,硕士,"彭雷先生,中国国籍,1975年出生,1998年获江汉石油学院石油工程系石油工程专业大学本科学历;2009年6月获中国石油大学(华东)石油工程与天然气工程专业工程硕士。1998年,加入中国海油;2008年3月至2010年1月任中海油田服务股份有限公司油化事业部塘沽基地经理;2010年1月至2016年1月任中海油田服务股份有限公司油田化学事业部副总经理;2016年1月至2016年8月任中海油田服务股份有限公司油田化学事业部总经理(临时代理);2016年8月至2017年11月任中海油田服务股份有限公司油田化学事业部总经理;2017年11月至2019年7月任中海油田服务股份有限公司油田化学事业部总经理、党委副书记;2019年7月至2019年11月任中海油田服务股份有限公司油田化学事业部总经理、党委副书记(主持党委工作);2019年11月至2020年4月任中海油田服务股份有限公司油田化学事业部总经理、党委书记。",男,manager,,,1588982400000,0,0,海油发展,副总经理,1608517471014,2019年11月至2020年4月任中海油田服务股份有限公司油田化学事业部总经理、党委书记,2019年11月至2020年4月任中海油田服务股份有限公司油田化学事业部总经理、党委书记,党委书记,党委,0,2,书记,2,4
5f6669e3ade9005a1eed3222,雷运明,600969,0,51,1600547298983,,"雷运明,男,1969年8月出生,大学文化。1996年5月至1998年6月任郴州市财办综合科副科长;1998年6月至2002年7月任郴州市财办内贸科科长;2002月年7月至2003年2月任郴州市经贸委企业改革科科长;2003年2至2005年2月任郴州市经贸委综合科科长;2005年2月至2005年6月任郴州市国资委正科级干部;2005年6月至2005年9月任郴州市国资委产权管理科科长;2005年9月至2007年1月任郴州市国资委助理调研员兼产权管理科科长;2007年1月至2007年12月任郴州市国资委副调研员;2007年12月至2017年12月任郴州市国资委党委委员、副主任(2008.02任命);2017年12月至2019年9月任郴州市残联党组成员、副理事长。2019年9月起任郴电国际党委副书记。",男,manager,,,1574812800000,73300,0,郴电国际,总经理,1608517480369,2007年12月至2017年12月任郴州市国资委党委委员、副主任(2008.02任命),2007年12月至2017年12月任郴州市国资委党委委员、副主任(2008.02任命),2007年12月至2017年12月任郴州市国资委党委委员,党委,24,26,委员,26,28
5f6669e3ade9005a1eed3222,雷运明,600969,0,51,1600547298983,,"雷运明,男,1969年8月出生,大学文化。1996年5月至1998年6月任郴州市财办综合科副科长;1998年6月至2002年7月任郴州市财办内贸科科长;2002月年7月至2003年2月任郴州市经贸委企业改革科科长;2003年2至2005年2月任郴州市经贸委综合科科长;2005年2月至2005年6月任郴州市国资委正科级干部;2005年6月至2005年9月任郴州市国资委产权管理科科长;2005年9月至2007年1月任郴州市国资委助理调研员兼产权管理科科长;2007年1月至2007年12月任郴州市国资委副调研员;2007年12月至2017年12月任郴州市国资委党委委员、副主任(2008.02任命);2017年12月至2019年9月任郴州市残联党组成员、副理事长。2019年9月起任郴电国际党委副书记。",男,manager,,,1574812800000,73300,0,郴电国际,总经理,1608517480369,2017年12月至2019年9月任郴州市残联党组成员、副理事长,2017年12月至2019年9月任郴州市残联党组成员、副理事长,2017年12月至2019年9月任郴州市残联党组成员,党组,22,24,员,25,26
5f6669e3ade9005a1eed3222,雷运明,600969,0,51,1600547298983,,"雷运明,男,1969年8月出生,大学文化。1996年5月至1998年6月任郴州市财办综合科副科长;1998年6月至2002年7月任郴州市财办内贸科科长;2002月年7月至2003年2月任郴州市经贸委企业改革科科长;2003年2至2005年2月任郴州市经贸委综合科科长;2005年2月至2005年6月任郴州市国资委正科级干部;2005年6月至2005年9月任郴州市国资委产权管理科科长;2005年9月至2007年1月任郴州市国资委助理调研员兼产权管理科科长;2007年1月至2007年12月任郴州市国资委副调研员;2007年12月至2017年12月任郴州市国资委党委委员、副主任(2008.02任命);2017年12月至2019年9月任郴州市残联党组成员、副理事长。2019年9月起任郴电国际党委副书记。",男,manager,,,1574812800000,73300,0,郴电国际,总经理,1608517480369,2019年9月起任郴电国际党委副书记,2019年9月起任郴电国际党委副书记,2019年9月起任郴电国际党委副书记,党委,13,15,书记,16,18
